,station,location,state,do,ph,co,bod,na,tc,water_quality_index
1076,2686,"PATALGANGA AT VYAL PUMP HOUSE, VYAL, KHALAPUR, RAIGAD",NAN,6.6,7.4,122.0,3.6,0.46,361.0,2865.1
1077,2687,"PATALGANGA AT KHALAPUR PUMPING STATION, RAIGAD",NAN,6.5,7.3,131.0,3.8,0.79,261.0,2865.1
1078,2688,"PATALGANGA AT SAVROLI BDG, KHALAPUR. RAIGAD",NAN,6.7,7.3,130.0,3.4,0.57,318.0,2865.1
1079,2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, KHALAPUR, RAIGAD",NAN,6.6,7.4,95.0,3.7,0.53,217.0,2865.1
1080,2696,"PEHLAR DAM ON PEHLAR RIVERNANINLET OF WATER WORKS, VASAI, THANE",NAN,6.8,7.7,143.0,3.6,0.43,109.0,2865.1
1081,2199,SAVITRI AT OVALE VILLAGE.,NAN,6.3,7.5,10825.0,2.9,1.93,101.0,2869.0600000000004
1082,2701,"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",NAN,7.1,7.4,185.0,2.2,0.63,80.0,2869.600000000001
1083,2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",NAN,6.7,7.5,1439.0,2.5,1.47,113.0,2869.0600000000004
1084,2703,"SAVITRI AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",NAN,6.6,7.5,185.0,2.4,0.3,113.0,2869.600000000001
1085,2704,"SAVITRI AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",NAN,6.7,7.8,3521.0,2.4,1.02,90.0,2869.0600000000004
1086,2706,"SURYA U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",NAN,7.1,7.7,193.0,3.1,0.53,92.0,2864.92
1087,2707,"SURYA AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",NAN,7.1,7.9,175.0,3.1,0.47,86.0,2864.92
1088,2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",NAN,7.1,7.8,174.0,3.3,0.44,83.0,2864.92
1089,2709,"TANSA NEAR ROAD BDG, VILL DAKEWALI, WADA, THANE",NAN,7.2,7.5,308.0,4.0,0.15,,2847.52
1090,1093,ULHAS AT U/S OF NRC BUND AT MOHANE,NAN,6.4,7.7,153.0,3.6,0.77,592.0,2859.3
1091,1094,ULHAS AT U/S OF BADLAPUR,NAN,7.0,7.7,111.0,3.4,0.42,359.0,2865.1
1092,2162,ULHAS RIVER ATJAMBHUL WATER WORKS.,NAN,6.6,7.6,209.0,3.4,0.68,243.0,2864.92
1093,2712,"VAITARNA NR RD BDG, GANDHARE VILL., WADA, THANE",NAN,7.5,8.2,296.0,3.5,0.14,,2847.88
1094,2164,VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,NAN,6.9,7.5,119.0,2.2,0.42,71.0,2869.78
1095,2713,"VASHISHTI AT D/S OF THREE M PAPER MILLS NR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",NAN,6.8,7.7,116.0,2.3,1.33,74.0,2869.78
1096,2714,"VASHISHTI AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",NAN,7.0,7.7,118.0,2.1,0.5,64.0,2869.78
1097,17,PERIYAR NEAR ALWAYENANELOOR,NAN,5.2,6.6,453.0,1.5,0.38,4613.0,1842.2400000000007
1098,18,PERIYAR AT KALADY,NAN,7.2,6.8,35.0,1.1,0.24,3483.0,2861.140000000001
1099,20,CHALIYAR AT KOOLIMADU,NAN,7.0,7.1,62.0,0.5,0.44,617.0,2864.34
1100,21,CHALIYAR AT CHUNGAPALLY,NAN,7.0,7.1,5228.0,0.6,0.34,455.0,2869.0600000000004
1101,42,"KALLADA AT PERUMTHOTTA MKADAVU, PUNALOOR",NAN,7.2,7.0,51.0,0.6,0.26,522.0,2864.34
1102,43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,NAN,6.7,6.9,62.0,1.2,0.46,2193.0,2861.140000000001
1103,1154,CHALAKUDY AT PULICKALKANANDAVU,NAN,6.5,6.5,118.0,1.1,0.52,3080.0,2854.56
1104,1155,KARAMANA AT MOONNATTUMUKKU,NAN,0.6,7.0,1787.0,14.1,1.49,17500.0,32.84
1105,1156,PAMBA AT CHENGANNUR,NAN,6.6,6.8,49.0,0.9,0.56,913.0,2861.140000000001
1106,1207,KABBANI AT MUTHANKARA,NAN,6.8,7.3,67.0,0.6,0.4,935.0,2864.34
1107,1208,BHAVANI AT ELACHIVAZHY,NAN,7.3,7.4,104.0,0.6,0.44,430.0,2869.78
1108,1338,PERIYAR AT SEWAGE DISCHARGE POINT,NAN,6.5,6.7,39.0,1.2,0.26,4823.0,2857.94
1109,1339,MEENACHIL AT KIDANGOOR,NAN,7.2,6.5,45.0,0.9,0.46,1825.0,2854.74
1110,1340,MANIMALA  AT KALLOOPARA,NAN,7.4,6.9,65.0,0.9,0.56,1455.0,2861.140000000001
1111,1341,PAMBA AT THAKAZHY,NAN,6.5,6.5,60.0,1.0,1.62,900.0,2854.74
1112,1342,ACHENKOIL AT THUMPAMON,NAN,6.6,6.9,57.0,0.9,0.37,650.0,2861.140000000001
1113,1384,MANIMALA AT THONDRA,NAN,7.1,7.0,84.0,1.0,0.66,1485.0,2864.16
1114,1442,VAMANAPURAM,NAN,7.5,6.8,56.0,1.3,0.6,540.0,2861.140000000001
1115,1443,ACHENKOIL AT CHENNITHULA,NAN,5.4,6.7,100.0,0.9,0.42,810.0,1846.1600000000005
1116,1563,AMARAVILA,NAN,7.0,6.9,66.0,0.7,0.45,900.0,2861.140000000001
1117,1564,AYUR,NAN,7.1,6.9,75.0,0.6,0.73,583.0,2861.140000000001
1118,1565,PAMBA DOWN,NAN,6.5,6.7,70.0,0.9,1.25,800.0,2857.94
1119,1566,THIRURANGADY,NAN,6.7,6.6,102.0,0.8,0.12,900.0,2854.56
1120,1567,KUTTIYADY ESTATE,NAN,7.1,6.8,27.0,0.6,0.22,198.0,2866.760000000001
1121,1568,VALAYAM,NAN,6.9,7.1,46.0,0.5,0.33,373.0,2869.9600000000005
1122,1569,THALIPARAMBA,NAN,6.7,6.8,8291.0,1.0,0.53,250.0,2865.860000000001
1123,1570,HOSDURG,NAN,6.2,7.0,12342.0,1.4,0.27,1600.0,2863.44
1124,1571,"KAKKADAVU,  KERALA",NAN,7.5,7.3,53.0,0.8,0.31,2225.0,2864.34
1125,1572,PADIYATHADKA,NAN,7.6,7.3,62.0,1.0,0.63,2180.0,2864.34
1126,1573,IRUMPANAM,NAN,2.2,6.4,625.0,2.3,1.29,6505.0,37.44000000000001
1127,2284,R NEYYAR AT ARUVIPURAM,NAN,7.4,6.7,55.0,0.7,0.51,1088.0,2857.94
1128,2285,R MAMOM AT MAMOM BRIDGE,NAN,7.0,6.8,103.0,0.7,0.43,640.0,2860.96
1129,2286,R AYROOR AT AYROOR BRIDGE,NAN,5.3,6.9,109.0,1.3,0.66,685.0,1849.3600000000006
1130,2287,R ITHIKKARA AT ITHIKKARA,NAN,6.3,7.0,1392.0,0.7,0.85,535.0,2863.44
1131,2288,PALLICKAL AT NELLIMUKAL,NAN,6.7,7.0,71.0,0.5,0.29,433.0,2869.9600000000005
1132,2289,R KARUVANNURR AT KARUVANNUR BRIDGE,NAN,6.0,6.4,57.0,1.4,0.61,303.0,2853.9600000000005
1133,2290,PUZHACKAL AT PUZHACKAL BRIDGE,NAN,4.2,6.6,93.0,1.7,0.56,385.0,1061.78
1134,2291,R KEECHERI AT VADAKKANCHERY BRIDGE,NAN,5.1,6.7,88.0,1.9,0.63,713.0,1846.1600000000005
1135,2292,R THIRUR AT THALAKKADATHUR BRIDGE,NAN,5.3,6.4,4912.0,1.1,0.11,788.0,1835.8400000000006
1136,2293,R KADALUNDI AT HAJIRAPPALLY,NAN,6.9,7.0,84.0,0.9,0.08,803.0,2864.16
1137,2294,R KALLAI AT KALLAI BRIDGE,NAN,2.8,7.4,18256.0,1.6,0.47,2300.0,53.44000000000001
1138,2295,CORAPUZHA AT KANAYANKODE,NAN,5.3,7.2,9753.0,0.9,0.26,2650.0,1851.8400000000006
1139,2296,R THALLASSERY AT PATHIPPALAM,NAN,6.5,5.8,67.0,0.4,0.54,520.0,2848.34
1140,2297,ANCHARAKANDY AT MERUVAMBA,NAN,6.9,6.1,86.0,0.6,0.49,183.0,2853.78
1141,2298,R KUPPAM AT RAYAROM,NAN,7.0,6.6,59.0,0.8,0.42,418.0,2860.360000000001
1142,2299,RAMAPURAM AT RAMAPURAM BRIDGE,NAN,5.6,6.4,7904.0,1.0,0.4,278.0,1841.4600000000007
1143,2300,PERUVAMBA AT CHANDAPPURA,NAN,6.8,6.0,55.0,0.5,0.25,910.0,2848.34
1144,2301,R KAVVAI AT KUTTIYOL PALAM,NAN,6.0,5.9,105.0,1.0,0.63,195.0,2853.78
1145,2302,NEELASWARAM AT NAMBIARKAL DAM,NAN,6.3,7.0,2759.0,1.4,0.22,1400.0,2863.44
1146,1448,NAGAVALLI AT THOTAPALLI REGULATOR,NAN,6.5,7.6,312.0,1.1,2.41,354.0,2869.0600000000004
1147,2352,"VAMSHADHARA, KALINGAPATNAM, VIZIANAGARAM",NAN,6.4,7.7,203.0,1.1,3.34,357.0,2869.600000000001
1148,1444,KALI AT D/S WEST COAST PAPER MILL,NAN,7.3,7.3,308.0,4.2,2.43,185.0,2864.38
